"Comment","Designator","Footprint","LCSC Part #"
"10u/50V","C1,C2,C3,C5,C6,C7","C_1206_3216Metric","C13585"
"100nF","C4,C19,C8,C20,C21,C22,C28,C29","C_0805_2012Metric","C49678"
"220u/35V","C14,C15,C16,C17","CP_Radial_D8.0mm_P3.50mm","C201212"
"4u7","C23","C_0805_2012Metric","C1779"
"10p","C24","C_0805_2012Metric","C1785"
"10u","C25,C26,C34","C_0805_2012Metric","C15850"
"1u","C27","C_0805_2012Metric","C28323"
"100nF","C30,C31,C32,C33","C_0603_1608Metric","C14663"
"LL4148","D1,D2,D3,D12","D_MiniMELF","C9808"
"green","D4","LED_0805_2012Metric","C2297"
"red","D5,D6,D7,D8,D9,D10,D11","LED_0805_2012Metric","C84256"
"2A","F1,F2,F3","Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder","C187605"
"600R/100M","L2,L3,L5","L_0805_2012Metric","C1017"
"2u2","L4","L_0805_2012Metric","C216156"
"AO3400A","Q1,Q2,Q3,Q4","TSOT-23","C20917"
"0R","R1,R15,R7,R22,R26,R31,R34","R_0805_2012Metric","C17477"
"2k","R2","R_0805_2012Metric","C17604"
"22k","R3","R_0805_2012Metric","C17560"
"270k","R4,R17","R_0805_2012Metric","C17589"
"3k3","R5","R_0805_2012Metric","C26010"
"11k","R6,R11,R18,R25,R27","R_0805_2012Metric","C17429"
"39k","R9,R8,R12","R_0805_2012Metric","C25826"
"4k7","R10","R_0805_2012Metric","C17673"
"68k","R13","R_0805_2012Metric","C17801"
"470R","R14","R_0805_2012Metric","C17709"
"10k","R16,R23,R28,R32,R33,R35,R36,R38","R_0805_2012Metric","C17414"
"15k","R24","R_0805_2012Metric","C17475"
"0R01","R29","R_1206_3216Metric","C308574"
"249k","R30","R_0805_2012Metric","C25825"
"81R","R39","R_0805_2012Metric","C17819"
"RESET","SW1","SW_SPST_B3U-1000P","C231329"
"TLC5916IDR","U4","SOIC-16_3.9x9.9mm_P1.27mm","C90107"
"NE5532","U7","SOIC-8_3.9x4.9mm_P1.27mm","C7426"
"TLV62569DBV","U8","SOT-23-5","C141836"
"INA138","U9","SOT-23-5","C47914"
"MCP6002-xSN","U10","SOIC-8_3.9x4.9mm_P1.27mm","C7377"
